AScore_Sample58,AScore_Sample59,AScore_Sample60,AScore_Sample61,AScore_Sample62,AScore_Sample63,AScore_Sample64,AScore_Sample65,AScore_Sample66,AScore_Sample67,AScore_Sample68,AScore_Sample69,AScore_Sample70,AScore_Sample71,AScore_Sample72,AScore_Sample73,AScore_Sample74,AScore_Sample75,AScore_Sample76,AScore_Sample77,AScore_Sample78,AScore_Sample79,AScore_Sample80,AScore_Sample81,AScore_Sample82,AScore_Sample83,AScore_Sample84,AScore_Sample157,AScore_Sample158,AScore_Sample159,AScore_Sample160,AScore_Sample161,AScore_Sample162,AScore_Sample163,AScore_Sample164,AScore_Sample165,AScore_Sample166,AScore_Sample167,AScore_Sample168,AScore_Sample169,AScore_Sample170,AScore_Sample171,AScore_Sample172,AScore_Sample173,AScore_Sample174,AScore_Sample175,AScore_Sample176,AScore_Sample177,AScore_Sample178,AScore_Sample179,AScore_Sample180,AScore_Sample181,AScore_Sample182,AScore_Sample183
G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00,G1:Propionate labeling reagent light:1000.00;K2:Propionate labeling reagent light:1000.00;K6:Propionate labeling reagent light:1000.00
G1:Carbamylation:9.34;K2:Propionate labeling reagent light:9.34;K6:Propionate labeling reagent light:61.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G1:Carbamylation:8.14;K2:Propionate labeling reagent light:8.14;K6:Propionate labeling reagent light:56.94,NA,NA,NA,NA,NA,G1:Carbamylation:7.65;K2:Propionate labeling reagent light:7.65;K6:Propionate labeling reagent light:61.38,NA,NA,G1:Carbamylation:8.69;K2:Propionate labeling reagent light:8.69;K6:Propionate labeling reagent light:60.87,NA,NA,G1:Carbamylation:8.69;K2:Propionate labeling reagent light:8.69;K6:Propionate labeling reagent light:73.54,G1:Carbamylation:0.00;K2:Propionate labeling reagent light:0.00;K6:Propionate labeling reagent light:45.16,NA,NA,G1:Carbamylation:9.34;K2:Propionate labeling reagent light:9.34;K6:Propionate labeling reagent light:51.00,NA,G1:Carbamylation:11.06;K2:Propionate labeling reagent light:11.06;K6:Propionate labeling reagent light:77.53,G1:Carbamylation:8.69;K2:Propionate labeling reagent light:8.69;K6:Propionate labeling reagent light:76.42,G1:Carbamylation:8.69;K2:Propionate labeling reagent light:8.69;K6:Propionate labeling reagent light:60.87,NA,G1:Carbamylation:10.11;K2:Propionate labeling reagent light:10.11;K6:Propionate labeling reagent light:70.86,G1:Carbamylation:10.11;K2:Propionate labeling reagent light:10.11;K6:Propionate labeling reagent light:55.60,G1:Carbamylation:14.02;K2:Propionate labeling reagent light:14.02;K6:Propionate labeling reagent light:61.30,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:100.21,NA,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:10.11;K2:Propionate labeling reagent light:10.11;K6:Propionate labeling reagent light:76.17,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,NA,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:8.14;K2:Propionate labeling reagent light:8.14;K6:Propionate labeling reagent light:69.39,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16,G1:Carbamylation:14.02;K2:Propionate labeling reagent light:14.02;K6:Propionate labeling reagent light:98.37,G1:Carbamylation:11.06;K2:Propionate labeling reagent light:11.06;K6:Propionate labeling reagent light:77.53,G1:Carbamylation:11.06;K2:Propionate labeling reagent light:11.06;K6:Propionate labeling reagent light:77.53,G1:Carbamylation:10.11;K2:Propionate labeling reagent light:10.11;K6:Propionate labeling reagent light:77.53,G1:Carbamylation:12.28;K2:Propionate labeling reagent light:12.28;K6:Propionate labeling reagent light:86.16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Propionate labeling reagent light:0.00;S2:Ubiquitin:0.00,S1:Propionate labeling reagent light:0.00;S2:Ubiquitin:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Ubiquitin:0.00;S2:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Dehydration:0.00;S2:Ubiquitin:0.00,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Biotinylation:1000.00;R3:Citrullination:21.18,NA,NA,NA,NA,S1:Biotinylation:1000.00;R3:Citrullination:34.08,NA,S1:Biotinylation:1000.00;R3:Citrullination:21.08,NA,S1:Biotinylation:1000.00;R3:Citrullination:19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Biotinylation:1000.00;R3:Citrullination:14.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Acetylation (Protein N-term):1000.00;S2:Propionate labeling reagent light:1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,S1:Carbamidomethylation (DHKE  X@N-term):1000.00;S2:Propionate labeling reagent light:1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Carbamidomethylation (DHKE  X@N-term):1000.00;S2:Propionate labeling reagent light:1000.00,NA,NA,NA,NA,S1:Carbamidomethylation (DHKE  X@N-term):1000.00;S2:Propionate labeling reagent light:1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S2:Ubiquitin:0.00;R3:Methylation(KR):24.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1:Propionate labeling reagent light:0.00;S2:Ubiquitin:0.00;R3:Citrullination:50.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
